citric acid,residual sugar,chlorides,density,pH,sulphates,alcohol,quality,total_acidity,total_sulfur,sugar_acidity_ratio
0.0,0.1272727272727273,0.20212765957446807,0.5887850467289866,0.7241379310344831,0.27710843373493993,0.17647058823529416,5,0.9127877237851661,0.41883015326868944,0.13943299625563568
0.0,0.25454545454545463,0.3191489361702128,0.49532710280374204,0.3678160919540234,0.421686746987952,0.2549019607843137,5,1.1554987212276213,0.960588051298092,0.22029055495190963
0.050632911392405056,0.19999999999999998,0.2872340425531915,0.5140186915887881,0.43678160919540243,0.38554216867469887,0.2549019607843137,5,1.0250639386189258,0.6496715670941509,0.19510978043912175
0.7088607594936709,0.1272727272727273,0.19680851063829788,0.6074766355140184,0.3218390804597706,0.30120481927710846,0.2549019607843137,6,0.9033248081841432,0.7363152955896153,0.1408936476886647
0.0,0.1090909090909091,0.19680851063829788,0.5887850467289866,0.7241379310344831,0.27710843373493993,0.17647058823529416,5,0.869309462915601,0.5054738817641539,0.12549145470592957
0.07594936708860758,0.07272727272727278,0.1648936170212766,0.4579439252336499,0.48275862068965525,0.1566265060240964,0.17647058823529416,5,0.8629156010230178,0.6856427901157336,0.08428086436385199
0.0,0.0,0.14361702127659579,0.2897196261682353,0.5862068965517246,0.16867469879518077,0.2941176470588234,7,0.8466751918158567,0.41226149515170474,0.0
0.025316455696202528,0.14545454545454548,0.18617021276595744,0.49532710280374204,0.5517241379310347,0.2891566265060241,0.196078431372549,7,0.8294117647058822,0.26024397873005944,0.175370728562218
0.4556962025316455,0.890909090909091,0.175531914893617,0.5887850467289866,0.5402298850574718,0.566265060240964,0.392156862745098,5,0.707161125319693,1.0384735689709101,1.2598388952819335
0.10126582278481011,0.1090909090909091,0.313829787234042,0.41121495327102764,0.4597701149425286,0.2530120481927712,0.13725490196078405,5,0.6999999999999998,0.7288082577416328,0.1558441558441559
0.0,0.07272727272727278,0.2712765957446809,0.2616822429906591,0.8045977011494259,0.22891566265060254,0.27450980392156854,5,0.6086317135549871,0.7073819205505161,0.11949307127372061
0.7088607594936709,0.1090909090909091,0.2872340425531915,0.5046728971962722,0.48275862068965525,0.5060240963855422,0.392156862745098,7,0.5856777493606138,1.4369721614013138,0.18626439063120287
0.10126582278481011,0.5818181818181819,0.25531914893617014,0.5514018691588802,0.5747126436781609,0.20481927710843378,0.09803921568627438,4,0.7932225063938618,0.27416327807319363,0.7334867292952092
0.6075949367088607,0.1090909090909091,0.20744680851063832,0.49532710280374204,0.5862068965517246,0.2409638554216868,0.17647058823529416,6,0.5675191815856777,0.9971848608070066,0.19222417960588312
0.3924050632911392,0.19999999999999998,0.2340425531914889,0.6261682242990645,0.735632183908046,0.38554216867469887,0.23529411764705865,5,0.5993606138107416,0.945886768845793,0.3336889268188607
0.26582278481012656,0.07272727272727278,0.36170212765957444,0.47663551401869597,0.3333333333333335,0.6987951807228918,0.196078431372549,5,0.6781329923273657,0.4186737566468564,0.10724632712186935
0.13924050632911392,0.19999999999999998,0.24468085106382984,0.49532710280374204,0.3333333333333335,0.2409638554216868,0.17647058823529416,5,0.8139386189258311,0.6127619643415703,0.2457187745483111
0.17721518987341772,0.21818181818181817,0.25,0.49532710280374204,0.6321839080459775,0.36144578313253023,0.23529411764705865,6,0.5278772378516624,0.6793869252424147,0.4133192389006342
0.20253164556962022,0.03636363636363635,0.22340425531914895,0.3738317757009497,0.5287356321839081,0.27710843373493993,0.15686274509803932,5,0.4464194373401533,0.33969346262120736,0.08145621207781047
0.30379746835443033,0.1090909090909091,0.22340425531914895,0.43925233644860384,0.4597701149425286,0.31325301204819284,0.196078431372549,5,0.6210997442455242,0.10118861432593057,0.1756415295637038
